TEAM,MEMBER,ORDER,TYPE,SPRINT17,HURDLES17,RELAY17,STEEPLECHASE,UNDRWTR17,SAND17
TEAM PRIMARY,PRIM,1,2017.3,,,2.58,,,
TEAM PRIMARY,RIMA,2,2017.3,,11.28,2.76,,14.08,
TEAM PRIMARY,IMAR,3,2017.3,8.24,,DSQ,,,
TEAM PRIMARY,MARY,4,2017.3,,,DSQ,,,
QUICKSILVERS,QUICKSILVERS,,2017.3,6.31,9.83,11.95,,14.34,
QUICKSILVERS,ARGENT,1,2017.3,,,2.69,,,
QUICKSILVERS,MERCURIAL,2,2017.3,,,2.76,,,
QUICKSILVERS,QUIX,3,2017.3,6.31,,3.28,,14.34,
QUICKSILVERS,SILVERY,4,2017.3,,9.83,3.22,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2017.3,6.15,9.19,11.74,,14.08,
SAVAGE SPEEDERS,SPEEDY,1,2017.3,6.15,,2.77,,14.08,
SAVAGE SPEEDERS,RAPIDLY,2,2017.3,,,2.96,,,
SAVAGE SPEEDERS,SWIFTY,3,2017.3,,9.19,3.01,,,
SAVAGE SPEEDERS,WHIZZY,4,2017.3,,,3,,,
SHINING SWARM,SHINING SWARM,,2017.3,8.07,9.61,12.01,,13.6,
SHINING SWARM,SHINY,1,2017.3,,9.61,2.56,,,
SHINING SWARM,SPARKLE,2,2017.3,8.07,,2.95,,13.6,
SHINING SWARM,SHIMMER,3,2017.3,,,3.1,,,
SHINING SWARM,STERLING,4,2017.3,,,3.4,,,
THUNDERBOLTS,THUNDERBOLTS,,2017.3,7.33,11.4,12.3,,13.98,
THUNDERBOLTS,BOLTA,1,2017.3,7.33,,2.8,,,
THUNDERBOLTS,BOLTO,2,2017.3,,,2.86,,,
THUNDERBOLTS,BOLTU,3,2017.3,,11.4,3.33,,,
THUNDERBOLTS,BOLTY,4,2017.3,,,3.31,,13.98,
BALLS OF CHAOS,BALLS OF CHAOS,,2017.3,,,,,,
BALLS OF CHAOS,ANARCHY,1,2017.3,,,,,,
BALLS OF CHAOS,TUMULT,2,2017.3,,,,,,
BALLS OF CHAOS,CLUTTER,3,2017.3,,,,,,
BALLS OF CHAOS,SNARL,4,2017.3,,,,,,
KOBALTS,KOBALTS,,2017.3,,,,,,
KOBALTS,AZURE,1,2017.3,,,,,,
KOBALTS,GNOME,2,2017.3,,,,,,
KOBALTS,MEEPO,3,2017.3,,,,,,
KOBALTS,CERULEAN,4,2017.3,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2017.3,,,,,,
ROJO ROLLERS,ROJO UNO,1,2017.3,,,,,,
ROJO ROLLERS,ROJO DOS,2,2017.3,,,,,,
ROJO ROLLERS,ROJO TRES,3,2017.3,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2017.3,,,,,,
SNOWBALLS,SNOWBALLS,,2017.3,,,,,,
SNOWBALLS,SNOWFLAKE,1,2017.3,,,,,,
SNOWBALLS,SNOW,2,2017.3,,,,,,
SNOWBALLS,SNOWY,3,2017.3,,,,,,
SNOWBALLS,SNOWSTORM,4,2017.3,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2017.01,,,10.47,,,29.51
CHOCOLATIERS,COCOA,1,2017.01,,,1.94,,,
CHOCOLATIERS,CHOC,2,2017.01,,,2.77,,,
CHOCOLATIERS,MOCHA,3,2017.01,,,3.09,,,
CHOCOLATIERS,BONBON,4,2017.01,,,2.67,,,29.51
TEAM GALACTIC,TEAM GALACTIC,,2017.01,,,10.51,,,27.47
TEAM GALACTIC,COSMO,1,2017.01,,,1.95,,,
TEAM GALACTIC,STARRY,2,2017.01,,,2.82,,,
TEAM GALACTIC,ASTRON,3,2017.01,,,3.05,,,27.47
